Name	Total	Bin.1	Bin.2	Bin.3	Bin.4	Bin.5	Bin.6	Bin.7	Bin.8	Bin.9	Bin.10	Bin.11	Bin.12
apFAB346--apFAB917	16950	2559	1666	1	1	3	2	29	3	127	490	6603	5466
apFAB342--apFAB865	16947	4067	2748	29	47	382	2926	4929	1474	278	66	0	1
BBa_J23106--apFAB901	16942	4033	2698	157	229	4312	4059	1074	296	7	75	2	0
BBa_J23100--apFAB865	16897	2924	1961	18	22	3	0	23	1	1881	5122	4455	487
BBa_J23105--Anderson_RBS	16884	4407	3883	1870	2071	3583	771	201	13	1	0	83	1
apFAB302--apFAB867	16875	3887	2796	134	407	3994	3668	1715	120	27	0	127	0
apFAB302--BBa_J61120	16853	4415	3948	2635	1910	2964	412	279	119	111	56	2	2
apFAB115--BBa_J61125	16847	4341	3365	1376	1585	4659	983	262	130	2	77	67	0
BBa_J23105--apFAB883	16835	4614	4251	2673	2839	1981	361	83	0	0	32	1	0
BBa_J23108--apFAB845	16833	5988	6226	2038	1082	925	182	207	25	1	159	0	0
apFAB63--BBa_J61119	16831	4532	4578	3134	2304	1889	137	141	53	6	56	0	1
apFAB125--apFAB876	16831	2908	1895	0	0	0	5	5	2	283	2326	8002	1405
apFAB342--apFAB890	16829	4994	5766	2340	1917	1223	339	151	37	0	61	0	1
BBa_J23100--apFAB837	16815	3069	2067	0	0	2	1	4	19	233	2747	6839	1834
apFAB130--B0030_RBS	16811	3044	2140	0	18	3	1	48	10	493	2871	6710	1473
BBa_J23115--apFAB872	16806	7697	6007	1470	1140	338	11	142	0	0	1	0	0
apFAB311--BBa_J61129	16800	4680	4748	2833	2128	1704	510	131	64	0	0	2	0
apFAB322--apFAB843	16794	4974	6427	2210	1668	1259	124	47	1	28	54	1	1
apFAB342--apFAB884	16789	2728	2029	2	1	12	16	22	1286	7222	2935	535	1
BBa_J23118--apFAB827	16773	3646	2401	3	1	28	90	180	3184	5891	1199	124	26
apFAB302--apFAB837	16768	2953	2020	0	1	1	1	0	68	783	4466	5883	592
BBa_J23118--apFAB909	16754	3357	2171	2	47	3	18	193	2228	5971	2247	483	34
BBa_J23115--apFAB864	16753	8373	6188	1167	453	166	123	145	27	0	109	2	0
BBa_J23102--apFAB922	16744	4071	2959	1493	1486	5515	910	132	175	1	0	1	1
apFAB302--apFAB876	16742	2909	2021	104	0	6	34	26	315	5218	4285	1748	76
BBa_J23113--apFAB860	16731	4047	2714	80	24	1329	3157	4180	1015	181	4	0	0
BBa_J23105--apFAB820	16728	4001	3474	1672	1937	4340	953	314	36	0	1	0	0
BBa_J23109--apFAB903	16718	4961	4650	2054	2127	2529	241	30	15	60	50	1	0
apFAB311--BBa_J61132	16712	4011	2699	285	580	4442	2934	1612	115	25	1	8	0
apFAB277--apFAB865	16710	4073	2781	505	981	5031	2269	852	154	64	0	0	0
apFAB109--apFAB895	16707	7436	6709	1182	697	563	0	27	39	0	54	0	0
BBa_J23116--BBa_J61132	16706	5801	5680	2537	1053	1042	269	139	63	0	119	2	1
apFAB63--apFAB954	16693	3058	2177	2	1	3	0	37	545	6817	3548	505	0
apFAB311--BBa_J61106	16692	3991	3222	1277	1759	4952	938	461	29	62	1	0	0
apFAB114--apFAB872	16689	7606	6469	1310	790	262	12	121	53	0	66	0	0
apFAB125--apFAB903	16681	3933	2779	106	21	377	2610	5436	1047	127	70	126	49
BBa_J23115--apFAB865	16676	7280	5736	1726	767	707	59	137	43	49	70	102	0
apFAB104--BBa_J61113	16675	4205	3008	213	625	4053	3420	1125	26	0	0	0	0
BBa_J23116--BBa_J61100	16666	4354	3465	1741	2138	4052	641	119	16	95	45	0	0
BBa_J23102--apFAB843	16655	4577	3705	1945	2239	3344	346	263	0	234	2	0	0
BBa_J23105--apFAB954	16621	4375	2938	623	1373	5100	1796	340	1	31	3	41	0
BBa_J23118--apFAB834	16608	3365	2354	81	0	100	20	4	122	3070	5288	2204	0
BBa_J23115--apFAB844	16586	7471	6315	1542	613	197	3	63	1	0	100	281	0
apFAB277--BBa_J61119	16584	5034	5106	3009	1752	1433	86	159	1	1	0	1	2
BBa_J23105--apFAB914	16583	5442	6074	2644	1498	550	180	92	24	30	48	0	1
apFAB277--BBa_J61112	16579	3732	2650	700	992	5243	2073	957	145	84	1	1	1
apFAB342--apFAB910	16573	4023	2801	84	91	2353	3565	3199	424	31	0	1	1
apFAB61--BBa_J61131	16571	2490	1725	47	1	1	4	3	989	6981	3236	1093	1
apFAB323--BBa_J61128	16569	3800	3954	2117	2602	3261	568	111	0	149	7	0	0
apFAB306--apFAB872	16567	4324	3209	1711	1727	4549	647	142	69	10	124	55	0
apFAB109--apFAB894	16559	6790	5961	1574	824	1009	113	40	61	1	184	1	1
BBa_J23109--apFAB844	16552	5422	6174	2460	1252	1016	167	30	30	0	0	0	1
apFAB64--apFAB831	16548	2902	2056	3	1	1	5	1	306	5121	3950	1619	583
apFAB75--apFAB843	16546	4079	3427	2040	2174	3591	850	108	68	3	133	1	72
apFAB311--apFAB832	16542	4732	5590	2406	1720	1467	315	121	68	53	69	0	1
apFAB277--BBa_J61104	16527	3730	2710	902	885	5409	1783	642	55	1	1	0	409
apFAB312--BBa_J61103	16526	5903	5882	1896	1465	897	86	108	0	1	120	0	168
apFAB277--apFAB903	16524	4475	4283	3181	2355	1782	212	80	1	138	14	1	2
BBa_J23108--apFAB843	16513	7204	5913	1403	1161	598	87	67	7	0	73	0	0
apFAB277--BBa_J61127	16498	4078	2694	80	57	931	2930	4239	1128	327	21	0	13
apFAB124--apFAB914	16492	6987	6553	1487	711	500	18	158	11	0	65	2	0
BBa_J23108--apFAB844	16487	6671	5992	1642	914	987	6	157	0	118	0	0	0
apFAB114--apFAB868	16487	6958	6343	1538	885	460	43	163	0	96	0	0	1
apFAB323--BBa_J61131	16486	4355	4264	2288	2002	2787	582	121	65	22	0	0	0
apFAB259--apFAB857	16480	4235	2794	44	162	2051	3748	3068	372	0	6	0	0
apFAB78--apFAB865	16475	4285	4501	2355	2324	2324	361	86	80	79	80	0	0
apFAB55--BBa_J61120	16474	5496	6402	1903	1494	453	178	132	33	91	235	0	57
apFAB346--apFAB831	16458	2667	1931	78	37	2	0	34	181	5062	4516	1949	1
apFAB104--apFAB901	16422	4395	3019	85	42	1239	3378	3492	513	154	3	101	1
apFAB77--apFAB876	16422	3318	2187	1	0	1	0	3	1	0	1485	7548	1878
apFAB58--BBa_J61108	16418	4413	3163	0	6	41	388	3169	4221	686	331	0	0
apFAB338--apFAB872	16412	4173	4513	2603	2128	2447	329	216	1	0	1	1	0
